"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sample.nlogo"
"fake_news-dec_a-dec_u-perc_unaw-only_last_state"
"11/08/2021 15:57:19:433 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","alpha-aw","decay-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"393","1","0.7","1","1","0.2","0.3","1000","9970"
"410","1","0.2","1","1","0.4","0.3","1000","1824"
"396","1","1","1","1","0.2","0.3","1000","9989"
"409","1","0.1","1","1","0.4","0.3","1000","1315"
"395","1","0.9","1","1","0.2","0.3","1000","9977"
"406","1","0.9","1","1","0.3","0.3","1000","9945"
"407","1","1","1","1","0.3","0.3","1000","9987"
"411","1","0.3","1","1","0.4","0.3","1000","2152"
"412","1","0.4","1","1","0.4","0.3","1000","3095"
"405","1","0.8","1","1","0.3","0.3","1000","9926"
"404","1","0.7","1","1","0.3","0.3","1000","9851"
"413","1","0.5","1","1","0.4","0.3","1000","4263"
"431","1","0.1","1","1","0.6","0.3","1000","904"
"419","1","0","1","1","0.5","0.3","1000","881"
"414","1","0.6","1","1","0.4","0.3","1000","6367"
"420","1","0.1","1","1","0.5","0.3","1000","1143"
"416","1","0.8","1","1","0.4","0.3","1000","9965"
"432","1","0.2","1","1","0.6","0.3","1000","1058"
"415","1","0.7","1","1","0.4","0.3","1000","9742"
"421","1","0.2","1","1","0.5","0.3","1000","1470"
"417","1","0.9","1","1","0.4","0.3","1000","9978"
"422","1","0.3","1","1","0.5","0.3","1000","1885"
"453","1","0.1","1","1","0.8","0.3","1000","636"
"430","1","0","1","1","0.6","0.3","1000","780"
"424","1","0.5","1","1","0.5","0.3","1000","3376"
"441","1","0","1","1","0.7","0.3","1000","580"
"418","1","1","1","1","0.4","0.3","1000","9989"
"423","1","0.4","1","1","0.5","0.3","1000","2517"
"435","1","0.5","1","1","0.6","0.3","1000","2963"
"456","1","0.4","1","1","0.8","0.3","1000","1151"
"425","1","0.6","1","1","0.5","0.3","1000","4680"
"433","1","0.3","1","1","0.6","0.3","1000","1562"
"442","1","0.1","1","1","0.7","0.3","1000","699"
"429","1","1","1","1","0.5","0.3","1000","9981"
"434","1","0.4","1","1","0.6","0.3","1000","1931"
"426","1","0.7","1","1","0.5","0.3","1000","6710"
"452","1","0","1","1","0.8","0.3","1000","425"
"437","1","0.7","1","1","0.6","0.3","1000","4730"
"445","1","0.4","1","1","0.7","0.3","1000","1531"
"438","1","0.8","1","1","0.6","0.3","1000","7586"
"443","1","0.2","1","1","0.7","0.3","1000","868"
"444","1","0.3","1","1","0.7","0.3","1000","1109"
"454","1","0.2","1","1","0.8","0.3","1000","602"
"428","1","0.9","1","1","0.5","0.3","1000","9865"
"427","1","0.8","1","1","0.5","0.3","1000","9791"
"436","1","0.6","1","1","0.6","0.3","1000","3648"
"447","1","0.6","1","1","0.7","0.3","1000","2825"
"446","1","0.5","1","1","0.7","0.3","1000","2107"
"448","1","0.7","1","1","0.7","0.3","1000","3712"
"459","1","0.7","1","1","0.8","0.3","1000","2380"
"455","1","0.3","1","1","0.8","0.3","1000","865"
"449","1","0.8","1","1","0.7","0.3","1000","5066"
"457","1","0.5","1","1","0.8","0.3","1000","1456"
"458","1","0.6","1","1","0.8","0.3","1000","1881"
"440","1","1","1","1","0.6","0.3","1000","9967"
"439","1","0.9","1","1","0.6","0.3","1000","9915"
"463","1","0","1","1","0.9","0.3","1000","263"
"464","1","0.1","1","1","0.9","0.3","1000","361"
"451","1","1","1","1","0.7","0.3","1000","9978"
"460","1","0.8","1","1","0.8","0.3","1000","3292"
"465","1","0.2","1","1","0.9","0.3","1000","425"
"466","1","0.3","1","1","0.9","0.3","1000","512"
"450","1","0.9","1","1","0.7","0.3","1000","9953"
"461","1","0.9","1","1","0.8","0.3","1000","4857"
"467","1","0.4","1","1","0.9","0.3","1000","729"
"475","1","0.1","1","1","1","0.3","1000","204"
"468","1","0.5","1","1","0.9","0.3","1000","858"
"477","1","0.3","1","1","1","0.3","1000","311"
"462","1","1","1","1","0.8","0.3","1000","6787"
"469","1","0.6","1","1","0.9","0.3","1000","1198"
"487","1","0.2","1","1","0","0.4","1000","2768"
"482","1","0.8","1","1","1","0.3","1000","956"
"474","1","0","1","1","1","0.3","1000","150"
"470","1","0.7","1","1","0.9","0.3","1000","1624"
"476","1","0.2","1","1","1","0.3","1000","252"
"478","1","0.4","1","1","1","0.3","1000","349"
"479","1","0.5","1","1","1","0.3","1000","480"
"472","1","0.9","1","1","0.9","0.3","1000","2535"
"480","1","0.6","1","1","1","0.3","1000","543"
"471","1","0.8","1","1","0.9","0.3","1000","2054"
"473","1","1","1","1","0.9","0.3","1000","3600"
"484","1","1","1","1","1","0.3","1000","1568"
"481","1","0.7","1","1","1","0.3","1000","788"
"483","1","0.9","1","1","1","0.3","1000","1209"
"507","1","0","1","1","0.2","0.4","1000","1309"
"485","1","0","1","1","0","0.4","1000","1572"
"486","1","0.1","1","1","0","0.4","1000","2185"
"488","1","0.3","1","1","0","0.4","1000","3578"
"496","1","0","1","1","0.1","0.4","1000","1441"
"497","1","0.1","1","1","0.1","0.4","1000","1804"
