"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sampleCOPY.nlogo"
"fake_news-not_fake-only_over"
"10/28/2021 22:42:23:983 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","decay-aw","alpha-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"223","0.2","0.9","0.1","0","0","0","1000","1576"
"224","0.3","0.9","0.1","0","0","0","1000","1841"
"239","0.7","1","0.1","0","0","0","1000","3821"
"228","0.7","0.9","0.1","0","0","0","1000","3573"
"246","0.3","0","0.2","0","0","0","1000","1503"
"248","0.5","0","0.2","0","0","0","1000","1525"
"208","0.9","0.7","0.1","0","0","0","1000","7295"
"245","0.2","0","0.2","0","0","0","1000","1577"
"243","0","0","0.2","0","0","0","1000","1579"
"251","0.8","0","0.2","0","0","0","1000","1640"
"236","0.4","1","0.1","0","0","0","1000","1976"
"237","0.5","1","0.1","0","0","0","1000","2330"
"220","1","0.8","0.1","0","0","0","1000","9985"
"249","0.6","0","0.2","0","0","0","1000","1621"
"252","0.9","0","0.2","0","0","0","1000","1570"
"238","0.6","1","0.1","0","0","0","1000","2883"
"254","0","0.1","0.2","0","0","0","1000","1633"
"247","0.4","0","0.2","0","0","0","1000","1556"
"244","0.1","0","0.2","0","0","0","1000","1598"
"219","0.9","0.8","0.1","0","0","0","1000","9660"
"231","1","0.9","0.1","0","0","0","1000","9983"
"253","1","0","0.2","0","0","0","1000","1464"
"250","0.7","0","0.2","0","0","0","1000","1606"
"240","0.8","1","0.1","0","0","0","1000","7302"
"257","0.3","0.1","0.2","0","0","0","1000","1738"
"242","1","1","0.1","0","0","0","1000","9990"
"230","0.9","0.9","0.1","0","0","0","1000","9950"
"256","0.2","0.1","0.2","0","0","0","1000","1561"
"262","0.8","0.1","0.2","0","0","0","1000","1792"
"255","0.1","0.1","0.2","0","0","0","1000","1611"
"241","0.9","1","0.1","0","0","0","1000","9947"
"270","0.5","0.2","0.2","0","0","0","1000","1775"
"258","0.4","0.1","0.2","0","0","0","1000","1666"
"261","0.7","0.1","0.2","0","0","0","1000","1839"
"259","0.5","0.1","0.2","0","0","0","1000","1571"
"260","0.6","0.1","0.2","0","0","0","1000","1704"
"278","0.2","0.3","0.2","0","0","0","1000","1563"
"266","0.1","0.2","0.2","0","0","0","1000","1568"
"267","0.2","0.2","0.2","0","0","0","1000","1696"
"265","0","0.2","0.2","0","0","0","1000","1610"
"263","0.9","0.1","0.2","0","0","0","1000","1926"
"271","0.6","0.2","0.2","0","0","0","1000","1783"
"268","0.3","0.2","0.2","0","0","0","1000","1714"
"282","0.6","0.3","0.2","0","0","0","1000","2024"
"272","0.7","0.2","0.2","0","0","0","1000","1961"
"279","0.3","0.3","0.2","0","0","0","1000","1620"
"269","0.4","0.2","0.2","0","0","0","1000","1751"
"294","0.7","0.4","0.2","0","0","0","1000","2413"
"290","0.3","0.4","0.2","0","0","0","1000","1824"
"264","1","0.1","0.2","0","0","0","1000","1956"
"280","0.4","0.3","0.2","0","0","0","1000","1704"
"276","0","0.3","0.2","0","0","0","1000","1592"
"273","0.8","0.2","0.2","0","0","0","1000","2318"
"275","1","0.2","0.2","0","0","0","1000","2953"
"283","0.7","0.3","0.2","0","0","0","1000","2286"
"274","0.9","0.2","0.2","0","0","0","1000","2426"
"281","0.5","0.3","0.2","0","0","0","1000","1796"
"299","0.1","0.5","0.2","0","0","0","1000","1705"
"287","0","0.4","0.2","0","0","0","1000","1670"
"301","0.3","0.5","0.2","0","0","0","1000","1854"
"293","0.6","0.4","0.2","0","0","0","1000","2255"
"288","0.1","0.4","0.2","0","0","0","1000","1601"
"289","0.2","0.4","0.2","0","0","0","1000","1774"
"277","0.1","0.3","0.2","0","0","0","1000","1682"
"284","0.8","0.3","0.2","0","0","0","1000","2506"
"297","1","0.4","0.2","0","0","0","1000","5221"
"296","0.9","0.4","0.2","0","0","0","1000","3663"
"286","1","0.3","0.2","0","0","0","1000","4019"
"291","0.4","0.4","0.2","0","0","0","1000","1883"
"298","0","0.5","0.2","0","0","0","1000","1614"
"292","0.5","0.4","0.2","0","0","0","1000","1987"
"306","0.8","0.5","0.2","0","0","0","1000","3660"
"285","0.9","0.3","0.2","0","0","0","1000","2904"
"320","0","0.7","0.2","0","0","0","1000","1569"
"295","0.8","0.4","0.2","0","0","0","1000","2890"
"302","0.4","0.5","0.2","0","0","0","1000","1987"
"307","0.9","0.5","0.2","0","0","0","1000","4692"
"300","0.2","0.5","0.2","0","0","0","1000","1625"
"312","0.3","0.6","0.2","0","0","0","1000","1980"
"304","0.6","0.5","0.2","0","0","0","1000","2349"
"309","0","0.6","0.2","0","0","0","1000","1551"
"305","0.7","0.5","0.2","0","0","0","1000","2648"
"311","0.2","0.6","0.2","0","0","0","1000","1772"
"314","0.5","0.6","0.2","0","0","0","1000","2061"
"310","0.1","0.6","0.2","0","0","0","1000","1814"
"303","0.5","0.5","0.2","0","0","0","1000","2262"
"323","0.3","0.7","0.2","0","0","0","1000","1799"
"313","0.4","0.6","0.2","0","0","0","1000","2151"
"315","0.6","0.6","0.2","0","0","0","1000","2482"
"316","0.7","0.6","0.2","0","0","0","1000","3256"
"321","0.1","0.7","0.2","0","0","0","1000","1647"
"317","0.8","0.6","0.2","0","0","0","1000","3907"
"324","0.4","0.7","0.2","0","0","0","1000","2037"
"322","0.2","0.7","0.2","0","0","0","1000","1702"
"308","1","0.5","0.2","0","0","0","1000","9796"
"331","0","0.8","0.2","0","0","0","1000","1534"
"326","0.6","0.7","0.2","0","0","0","1000","2974"
"325","0.5","0.7","0.2","0","0","0","1000","2424"
"328","0.8","0.7","0.2","0","0","0","1000","5031"
"333","0.2","0.8","0.2","0","0","0","1000","1777"
"319","1","0.6","0.2","0","0","0","1000","9844"
"318","0.9","0.6","0.2","0","0","0","1000","9727"
"327","0.7","0.7","0.2","0","0","0","1000","3701"
"335","0.4","0.8","0.2","0","0","0","1000","2188"
"332","0.1","0.8","0.2","0","0","0","1000","1604"
"336","0.5","0.8","0.2","0","0","0","1000","2393"
"329","0.9","0.7","0.2","0","0","0","1000","9813"
"346","0.4","0.9","0.2","0","0","0","1000","2292"
"355","0.2","1","0.2","0","0","0","1000","1795"
"348","0.6","0.9","0.2","0","0","0","1000","3202"
"343","0.1","0.9","0.2","0","0","0","1000","1578"
"342","0","0.9","0.2","0","0","0","1000","1713"
"345","0.3","0.9","0.2","0","0","0","1000","1914"
"353","0","1","0.2","0","0","0","1000","1651"
"334","0.3","0.8","0.2","0","0","0","1000","1942"
"357","0.4","1","0.2","0","0","0","1000","2367"
"344","0.2","0.9","0.2","0","0","0","1000","1825"
"330","1","0.7","0.2","0","0","0","1000","9958"
"338","0.7","0.8","0.2","0","0","0","1000","4200"
"347","0.5","0.9","0.2","0","0","0","1000","2719"
"354","0.1","1","0.2","0","0","0","1000","1796"
"337","0.6","0.8","0.2","0","0","0","1000","3020"
"339","0.8","0.8","0.2","0","0","0","1000","6436"
"349","0.7","0.9","0.2","0","0","0","1000","4704"
"340","0.9","0.8","0.2","0","0","0","1000","9912"
"341","1","0.8","0.2","0","0","0","1000","9970"
"365","0.1","0","0.3","0","0","0","1000","1697"
"364","0","0","0.3","0","0","0","1000","1516"
"358","0.5","1","0.2","0","0","0","1000","2786"
"356","0.3","1","0.2","0","0","0","1000","1952"
"352","1","0.9","0.2","0","0","0","1000","9987"
"367","0.3","0","0.3","0","0","0","1000","1511"
"370","0.6","0","0.3","0","0","0","1000","1599"
"375","0","0.1","0.3","0","0","0","1000","1606"
"366","0.2","0","0.3","0","0","0","1000","1575"
"372","0.8","0","0.3","0","0","0","1000","1597"
"359","0.6","1","0.2","0","0","0","1000","3573"
"351","0.9","0.9","0.2","0","0","0","1000","9848"
"373","0.9","0","0.3","0","0","0","1000","1474"
"371","0.7","0","0.3","0","0","0","1000","1472"
"374","1","0","0.3","0","0","0","1000","1654"
"369","0.5","0","0.3","0","0","0","1000","1653"
"360","0.7","1","0.2","0","0","0","1000","5295"
"368","0.4","0","0.3","0","0","0","1000","1607"
"383","0.8","0.1","0.3","0","0","0","1000","1983"
"363","1","1","0.2","0","0","0","1000","9990"
"350","0.8","0.9","0.2","0","0","0","1000","9553"
"377","0.2","0.1","0.3","0","0","0","1000","1567"
"376","0.1","0.1","0.3","0","0","0","1000","1600"
"378","0.3","0.1","0.3","0","0","0","1000","1774"
"382","0.7","0.1","0.3","0","0","0","1000","1799"
"361","0.8","1","0.2","0","0","0","1000","9865"
"381","0.6","0.1","0.3","0","0","0","1000","1704"
"380","0.5","0.1","0.3","0","0","0","1000","1675"
"379","0.4","0.1","0.3","0","0","0","1000","1648"
"386","0","0.2","0.3","0","0","0","1000","1508"
"362","0.9","1","0.2","0","0","0","1000","9926"
"384","0.9","0.1","0.3","0","0","0","1000","2116"
"388","0.2","0.2","0.3","0","0","0","1000","1760"
"385","1","0.1","0.3","0","0","0","1000","2016"
"391","0.5","0.2","0.3","0","0","0","1000","1780"
"387","0.1","0.2","0.3","0","0","0","1000","1544"
"397","0","0.3","0.3","0","0","0","1000","1588"
"392","0.6","0.2","0.3","0","0","0","1000","1951"
"389","0.3","0.2","0.3","0","0","0","1000","1703"
