"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sample.nlogo"
"fake_news-dec_a-dec_u-perc_aw-only_last_state"
"11/19/2021 12:18:43:228 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","alpha-aw","decay-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"226","1","0.5","0.9","1","0.1","1","1000","4800"
"236","1","0.4","1","1","0.1","1","1000","3689"
"220","1","1","0.8","1","0.1","1","1000","9990"
"227","1","0.6","0.9","1","0.1","1","1000","6823"
"243","1","0","0","1","0.2","1","1000","965"
"219","1","0.9","0.8","1","0.1","1","1000","9974"
"238","1","0.6","1","1","0.1","1","1000","7905"
"250","1","0.7","0","1","0.2","1","1000","1048"
"249","1","0.6","0","1","0.2","1","1000","1066"
"230","1","0.9","0.9","1","0.1","1","1000","9959"
"256","1","0.2","0.1","1","0.2","1","1000","1028"
"246","1","0.3","0","1","0.2","1","1000","931"
"244","1","0.1","0","1","0.2","1","1000","976"
"245","1","0.2","0","1","0.2","1","1000","898"
"237","1","0.5","1","1","0.1","1","1000","5796"
"247","1","0.4","0","1","0.2","1","1000","1082"
"231","1","1","0.9","1","0.1","1","1000","9989"
"240","1","0.8","1","1","0.1","1","1000","9981"
"228","1","0.7","0.9","1","0.1","1","1000","9962"
"229","1","0.8","0.9","1","0.1","1","1000","9950"
"254","1","0","0.1","1","0.2","1","1000","983"
"242","1","1","1","1","0.1","1","1000","9990"
"252","1","0.9","0","1","0.2","1","1000","1283"
"241","1","0.9","1","1","0.1","1","1000","9971"
"251","1","0.8","0","1","0.2","1","1000","1075"
"255","1","0.1","0.1","1","0.2","1","1000","1072"
"258","1","0.4","0.1","1","0.2","1","1000","1131"
"260","1","0.6","0.1","1","0.2","1","1000","1400"
"257","1","0.3","0.1","1","0.2","1","1000","987"
"280","1","0.4","0.3","1","0.2","1","1000","1418"
"261","1","0.7","0.1","1","0.2","1","1000","1591"
"253","1","1","0","1","0.2","1","1000","9989"
"259","1","0.5","0.1","1","0.2","1","1000","1173"
"266","1","0.1","0.2","1","0.2","1","1000","1044"
"276","1","0","0.3","1","0.2","1","1000","941"
"267","1","0.2","0.2","1","0.2","1","1000","1031"
"262","1","0.8","0.1","1","0.2","1","1000","1949"
"265","1","0","0.2","1","0.2","1","1000","976"
"268","1","0.3","0.2","1","0.2","1","1000","1129"
"292","1","0.5","0.4","1","0.2","1","1000","1894"
"269","1","0.4","0.2","1","0.2","1","1000","1301"
"273","1","0.8","0.2","1","0.2","1","1000","3223"
"279","1","0.3","0.3","1","0.2","1","1000","1241"
"271","1","0.6","0.2","1","0.2","1","1000","1837"
"278","1","0.2","0.3","1","0.2","1","1000","1166"
"263","1","0.9","0.1","1","0.2","1","1000","3737"
"270","1","0.5","0.2","1","0.2","1","1000","1467"
"277","1","0.1","0.3","1","0.2","1","1000","1128"
"281","1","0.5","0.3","1","0.2","1","1000","1633"
